Station	lat	lon
GP15_3_1	56.05909	-156.96154
GP15_3_3	55.08013	-155.72003
GP15_3_4	55.07994	-155.72033
GP15_3_5	53.68004	-153.79988
GP15_3_6	52.00014	-151.99978
GP15_3_8	47.00009	-151.99986
GP15_3_9	44.50019	-151.99984
GP15_3_10	41.99998	-151.99985
GP15_3_12	37.00007	-152.00017
GP15_3_14	32.00006	-151.99991
GP15_3_15	29.5003	-152.0005
GP15_3_16	26.99984	-152.00004
GP15_3_18	22.00015	-152.00005
GP15_3_18-3	19.68113	-154.51301
GP15_3_19	17.49998	-152.00007
GP15_3_21	11.00013	-152.00001
GP15_3_23	7.52686	-152.01638
GP15_3_25	5.01547	-152.333
GP15_3_27	2.49982	-152.01363
GP15_3_29	0.032	-152.01378
GP15_3_31	-2.50475	-152.00003
GP15_3_33	-4.99972	-152.0347
GP15_3_35	-10.49975	-151.99948
GP15_3_37	-14.9986	-151.99808
GP15_3_39	-19.99443	-152.09907
GP17-OCE_3_1	-19.9999	-152.0003
GP17-OCE_3_1-5	-21.1938	-151.8241
GP17-OCE_3_2	-22.4998	-151.6296
GP17-OCE_3_2-5	-23.6612	-151.4544
GP17-OCE_3_3	-24.9996	-151.25
GP17-OCE_3_3-5	-26.2545	-151.0504
GP17-OCE_3_4	-27.4996	-150.8511
GP17-OCE_3_4-5	-28.787	-150.635
GP17-OCE_3_5	-30.0001	-150.4303
GP17-OCE_3_5-5	-31.2432	-150.2185
GP17-OCE_3_6	-32.5	-150.0012
GP17-OCE_3_7	-34.9998	-149.6596
GP17-OCE_3_7-5	-36.2059	-149.4783
GP17-OCE_3_8	-37.5001	-149.2803
GP17-OCE_3_8-5	-38.7835	-149.0815
GP17-OCE_3_9	-40.0004	-148.8911
GP17-OCE_3_9-5	-41.1224	-148.7034
GP17-OCE_3_10	-42.5003	-148.4706
GP17-OCE_3_10.5	-43.776	-148.2377
GP17-OCE_3_11	-44.9994	-148.0084
GP17-OCE_3_11-5	-46.3341	-147.7513
GP17-OCE_3_12	-47.5	-147.5199
GP17-OCE_3_12-5	-48.6768	-147.2599
GP17-OCE_3_13	-49.9997	-146.9588
GP17-OCE_3_14	-52.312	-146.4033
GP17-OCE_3_14-5	-53.2455	-146.155
GP17-OCE_3_15	-53.9999	-145.9498
GP17-OCE_3_16	-54.9995	-145.6559
GP17-OCE_3_17	-55.7634	-145.4383
GP17-OCE_3_18	-56.1052	-145.3377
GP17-OCE_3_19	-56.8381	-145.1079
GP17-OCE_3_20	-57.6014	-144.8581
GP17-OCE_3_21	-58.7289	-144.4629
GP17-OCE_3_22	-59.9971	-143.9992
GP17-OCE_3_22-5	-61.2196	-143.6975
GP17-OCE_3_23	-62.4982	-142.9993
GP17-OCE_3_23-5	-63.7504	-141.064
GP17-OCE_3_24	-65.0034	-138.998
GP17-OCE_3_24-5	-65.7355	-137.57
GP17-OCE_3_25	-66.9998	-134.9994
GP17-OCE_3_25-5	-66.9904	-130.1486
GP17-OCE_3_26	-66.9855	-125.1933
GP17-OCE_3_27	-67.0003	-115.0079
GP17-OCE_3_27-5	-67.0098	-111.4778
GP17-OCE_3_28	-66.9992	-105.71
GP17-OCE_3_29	-66.9988	-100.001
GP17-OCE_3_29-5	-66.0457	-96.3436
GP17-OCE_3_30	-65.0928	-92.8331
GP17-OCE_3_31	-62.971	-86.9969
GP17-OCE_3_31-5	-61.5613	-84.8053
GP17-OCE_3_32	-59.9984	-82.4956
GP17-OCE_3_33	-57.0001	-78.9996
GP17-OCE_3_34	-55.0003	-77.097
GP17-OCE_3_35	-54.3512	-76.5493
GP17-OCE_3_36	-53.733	-76.0005
GP17-OCE_3_37	-53.4991	-75.751
GP17-OCE_3_38	-52.7019	-75.0972
